work_type,t,shift,nurse_id,value
regular,2,Night,13,0
overtime,2,Night,14,0
regular,2,Night,14,0
overtime,2,Night,15,0
regular,2,Night,15,0
overtime,2,Night,16,0
regular,2,Night,16,0
overtime,2,Night,17,0
regular,2,Night,17,0
overtime,2,Night,18,0
regular,2,Night,18,0
overtime,2,Night,19,0
regular,2,Night,19,0
overtime,2,Night,20,0
regular,2,Night,20,0
overtime,2,Night,21,0
regular,2,Night,21,0
overtime,2,Night,22,0
regular,2,Night,22,1
overtime,2,Night,23,0
regular,2,Night,23,1
overtime,2,Night,24,0
regular,2,Night,24,0
overtime,2,Night,25,0
regular,2,Night,25,0
overtime,2,Night,26,0
regular,2,Night,26,0
overtime,2,Night,27,0
regular,2,Night,27,0
overtime,2,Night,28,0
regular,2,Night,28,1
overtime,2,Night,29,0
regular,2,Night,29,1
overtime,3,Morning,0,0
regular,3,Morning,0,0
overtime,3,Morning,1,0
regular,3,Morning,1,1
overtime,3,Morning,2,0
regular,3,Morning,2,0
overtime,3,Morning,3,0
regular,3,Morning,3,0
overtime,3,Morning,4,0
regular,3,Morning,4,0
overtime,3,Morning,5,0
regular,3,Morning,5,1
overtime,3,Morning,6,0
regular,3,Morning,6,0
overtime,3,Morning,7,0
regular,3,Morning,7,0
overtime,3,Morning,8,0
regular,3,Morning,8,0
overtime,3,Morning,9,0
regular,3,Morning,9,0
overtime,3,Morning,10,0
regular,3,Morning,10,0
overtime,3,Morning,11,0
regular,3,Morning,11,0
overtime,3,Morning,12,0
regular,3,Morning,12,0
overtime,3,Morning,13,0
regular,3,Morning,13,0
overtime,3,Morning,14,0
regular,3,Morning,14,0
overtime,3,Morning,15,0
regular,3,Morning,15,0
overtime,3,Morning,16,0
regular,3,Morning,16,0
overtime,3,Morning,17,0
regular,3,Morning,17,1
overtime,3,Morning,18,0
regular,3,Morning,18,0
overtime,3,Morning,19,0
regular,3,Morning,19,0
overtime,3,Morning,20,0
regular,3,Morning,20,1
overtime,3,Morning,21,0
regular,3,Morning,21,0
overtime,3,Morning,22,0
regular,3,Morning,22,0
overtime,3,Morning,23,0
regular,3,Morning,23,0
overtime,3,Morning,24,0
regular,3,Morning,24,1
overtime,3,Morning,25,0
regular,3,Morning,25,1
overtime,3,Morning,26,0
regular,3,Morning,26,1
overtime,3,Morning,27,0
regular,3,Morning,27,0
overtime,3,Morning,28,0
regular,3,Morning,28,0
overtime,3,Morning,29,0
regular,3,Morning,29,0
overtime,3,Evening,0,0
regular,3,Evening,0,0
overtime,3,Evening,1,0
regular,3,Evening,1,0
overtime,3,Evening,2,0
regular,3,Evening,2,0
overtime,3,Evening,3,0
regular,3,Evening,3,0
overtime,3,Evening,4,0
regular,3,Evening,4,0
overtime,3,Evening,5,0
regular,3,Evening,5,0
overtime,3,Evening,6,0
regular,3,Evening,6,0
overtime,3,Evening,7,0
regular,3,Evening,7,0
overtime,3,Evening,8,0
regular,3,Evening,8,1
overtime,3,Evening,9,0
regular,3,Evening,9,1
overtime,3,Evening,10,0
regular,3,Evening,10,0
overtime,3,Evening,11,0
regular,3,Evening,11,1
overtime,3,Evening,12,0
regular,3,Evening,12,0
overtime,3,Evening,13,0
regular,3,Evening,13,1
overtime,3,Evening,14,0
regular,3,Evening,14,0
overtime,3,Evening,15,0
regular,3,Evening,15,0
overtime,3,Evening,16,0
regular,3,Evening,16,0
overtime,3,Evening,17,0
regular,3,Evening,17,0
overtime,3,Evening,18,0
regular,3,Evening,18,1
overtime,3,Evening,19,0
regular,3,Evening,19,1
overtime,3,Evening,20,0
regular,3,Evening,20,0
overtime,3,Evening,21,0
regular,3,Evening,21,1
overtime,3,Evening,22,0
regular,3,Evening,22,0
overtime,3,Evening,23,0
regular,3,Evening,23,0
overtime,3,Evening,24,0
regular,3,Evening,24,0
overtime,3,Evening,25,0
regular,3,Evening,25,0
overtime,3,Evening,26,0
regular,3,Evening,26,0
overtime,3,Evening,27,0
regular,3,Evening,27,0
overtime,3,Evening,28,0
regular,3,Evening,28,0
overtime,3,Evening,29,0
regular,3,Evening,29,0
overtime,3,Night,0,0
regular,3,Night,0,1
overtime,3,Night,1,0
regular,3,Night,1,0
overtime,3,Night,2,0
regular,3,Night,2,1
overtime,3,Night,3,0
regular,3,Night,3,0
overtime,3,Night,4,0
regular,3,Night,4,0
overtime,3,Night,5,0
regular,3,Night,5,0
overtime,3,Night,6,0
regular,3,Night,6,1
overtime,3,Night,7,0
regular,3,Night,7,0
overtime,3,Night,8,0
regular,3,Night,8,0
overtime,3,Night,9,0
regular,3,Night,9,0
overtime,3,Night,10,0
regular,3,Night,10,1
overtime,3,Night,11,0
regular,3,Night,11,0
overtime,3,Night,12,0
regular,3,Night,12,0
